Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,Construction (ISIC F),47265585,49487974,43120174,46846637,58257347,63952146,69081948,79815901,89127515,100074312,98350531,93775024,93619204,91240312,90077381,93099995,85299993,77100008,63700003,79300006,112500008,106400000,134900005,103900000,76500000,164600000,164479824,164359737,164239737,158792896,213421729,229567300,184076339,231210930,367328737,475837750,567696418,550787343,531675882,558460730,642056152,665769049,701619107,686516583,700346079,698470978,591298569,618983897,656262761,446734348,395640416,210889234,142405277,133339401
Afghanistan,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",228666504,239405657,208640693,226619566,281784694,309617067,333952851,385921667,432702258,481606709,475832619,460827487,438733578,448508812,463362340,375100001,481500001,449700010,242999998,154800002,1007299991,456300002,481900004,326499997,137700000,312100000,255161993,208611479,170553414,134912646,148354129,167335201,430569367,473888691,536047078,615078615,690834781,985449373,1070531522,1127912708,1491504184,1812688048,2255267261,2242102848,2172341877,2233704010,2039871140,2248199280,2147226880,1806462106,1642014793,1278561041,1153073827,1810290408
Afghanistan,"Transport, storage and communication (ISIC I)",84762563,88745458,77327147,84015070,104462407,114688898,123915465,143050778,159900189,179624943,175830580,168746372,168276600,161153838,165274171,166799997,142200002,157400002,122100004,151899999,220299999,212800000,252999997,86600004,57299999,212500000,215133893,217800432,220500022,215987473,294105554,344350950,428961344,587135863,666139781,601166921,688858369,962346029,1122795207,1315692216,1649004233,1807136926,2128753108,2186522080,1914311475,1769949312,1582007262,1601223975,1605561732,1816072658,2017420593,1324994715,1245113054,1324491814
Afghanistan,Other Activities (ISIC J-P),129035466,135102278,117719981,127890270,159041626,174600258,188578614,217897527,243383085,273064176,268562243,256279528,254861204,249712488,246787947,250599998,237399994,211900012,147399984,173000006,241399986,227399995,257700014,177400000,119900000,245500000,234909015,224784007,215104011,199167678,256366346,237864913,603812741,718391214,1078009762,1439517611,1715697007,2329820542,2880095331,3694486191,5717982255,7183140229,7835848468,8590673343,9826969359,10062353293,7105496872,7302900518,7281032301,6714967596,6846057914,4546402208,3987632847,4507026573
Afghanistan,Total Value Added,1748905464,1831128738,1595572638,1733352009,2155578723,2366691969,2555583550,2953364853,3300034860,3697983575,3641758885,3478823324,3438936748,3399452055,3360484678,3321999983,3320499991,2887600013,2664200010,3342100021,3621599987,3340100005,3474600027,2664399992,2114600000,3236299999,3078205867,2947208167,2842648494,2674890351,3531869351,3620525250,4230793678,4760890156,5314842200,6254088804,7008910004,9577151391,9837228583,11673725574,15229110738,18293918452,19929299511,20463508419,21125710834,20580716337,17337039846,18049339110,17914072136,18484771795,19083841637,14407688043,13438131344,15529056918
Albania,Final consumption expenditure,1518291365,1561968405,1606908267,1652656555,1700683918,1749635603,1797864494,1853301729,1905109255,1581494846,1450000000,1478142857,1495428571,1569428571,1626571429,1635571429,1708142857,1778285714,1854872543,2126753631,1843440085,1805227644,2605052671,2272982391,2063377327,2489352955,3643259087,2573613752,2865071321,3267475751,3223479775,3488471414,3979945031,5084782368,6345593791,7083953083,7841922747,9849229315,12040547080,11077313842,10646778615,11508091580,10941474214,11633387664,12201559822,10453766093,10939644360,11861738875,13700527059,14069133143,14024832027,15879411061,16259229238,19888456455
Albania,Household consumption expenditure (including Non-profit institutions serving households),1312560783,1350286963,1389164022,1428759886,1470097115,1512641040,1554448120,1601423386,1647804462,1367667641,1250714286,1282285714,1292571429,1359857143,1404714286,1411571429,1477857143,1540714286,1613793085,1858401270,1616679237,1452578496,2306678667,2032730724,1802824642,2162833081,3343847556,2341665620,2591268027,2932010072,2885447068,3071201941,3486201870,4467547640,5541344788,6195706972,6905407106,8730519109,10703597112,9739270749,9316045156,10093434549,9605409941,10224745913,10686694444,9188611350,9602970780,10364685978,11989883244,12321490506,12228274275,13744165379,14333776631,17342322023
Albania,General government final consumption expenditure,205730582,211681441,217744245,223896669,230586803,236994563,243416374,251878343,257304794,213827206,199285714,195857143,202857143,209571429,221857143,224000000,230285714,237571429,241079458,268352360,226760848,352649147,298374003,240251668,260552686,326519874,299411531,231948131,273803294,335465679,338032707,417269473,493743161,617234728,804249003,888246112,936515640,1118710206,1336949968,1338043093,1330733459,1414657031,1336064273,1408641751,1514865377,1265154743,1336673581,1497052897,1710643815,1747642637,1796557752,2135245682,1925452607,2546134432
Albania,Gross capital formation,824850020,848318607,872343965,898790644,922806967,948579365,983026379,998756168,1030292284,886743469,747571429,807857143,929714286,851857143,747857143,810285714,779428571,688142857,745277353,966721026,543168259,117210564,78838974,224458454,336690189,502480626,450950921,379550276,559126614,782952374,1112769978,1442319479,1570529467,1996225919,2712609879,3053335653,3386757736,3884917106,4608744943,4162218022,3614893685,4049453644,3490030118,3584054005,3396283656,2939973802,2991852105,3261763224,3623928326,3544360914,3482126093,4448985703,4518519720,5596105122
Albania,Gross fixed capital formation (including Acquisitions less disposals of valuables),767056789,789243724,811525122,835122162,859729579,882213855,910110111,937984400,953218828,810074210,733428571,713857143,820428571,836142857,871285714,799142857,779428571,786000000,812293844,954975512,768210221,117210564,78838974,224458454,336690189,502480626,675606976,458903516,550243261,758481882,1112769978,1442319479,1570529467,1996225919,2712609879,3053335653,3386757736,3884917106,4373128772,3939528396,3390641737,3785527979,3263361090,3331984259,3195743269,2779925109,2890331675,3199781696,3616723900,3436651216,3434284399,4366740726,4518519720,5596105122
Albania,Changes in inventories,57793232,59074883,60818843,63668482,63077388,66365511,72916268,60771768,77073456,76669259,14142857,94000000,109285714,15714286,-123428571,11142857,0,-97857143,-67016491,11745514,-225041961,,,,,,-224656056,-79353240,8883353,24470491,,,,,,,,,235616171,222689626,224251948,263925666,226669029,252069746,200540387,160048692,101520430,61981528,7204426,107709697,47841694,82244977,,
