Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.3486319934,,,,,,,,,,659.12530727,,,,,,,,,,,,,,,804.345993534,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0929459723,,,,,,,,,,438.3968809261,,,,,,,,,,,,,,,535.375880953,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11777.1678717079,,,,,,,,,,12775.5617567098,,,,,,,,,,,,,,,13983.1142967339,,,,,,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34237.6448930341,,,,,,,,,,35476.8581468248,,,,,,,,,,,,,,,36530.9179760506,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066.311174795,,,,,,,,,,3388.774180366,,,,,,,,,,,,,,,4016.815073034,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2594.7194166335,,,,,,,,,,3089.1963772392,,,,,,,,,,,,,,,3579.6703573598,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362455.80240613,,,,,,,,,,436715.38991649,,,,,,,,,,,,,,,522345.1853048,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.4252376137,,,,,,,,,,2333.2620025317,,,,,,,,,,,,,,,2981.9568951999,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564.19766063064,,,,,,,,,,1999.38691517046,,,,,,,,,,,,,,,2352.11104215641,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519.05572167604,,,,,,,,,,4835.31119500824,,,,,,,,,,,,,,,7232.34541936721,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.511781068176,,,,,,,,,,444.171267163362,,,,,,,,,,,,,,,420.2625750865,,,,,,,,
